,,2023 Market Value,Total Improvement Market Value,Total Land Market Value,Homestead Cap Loss,Total Main Area (Sq. Ft.),Main Area (Sq. Ft.),Main Area (Value) ,Garage (Sq. Ft.),Garage (Value),Land (Sq. Ft.)
1,6309,754207,696207,58000,-75117,4525,3192,573813,1333,122394,10000
2,6310,703481,642796,60685,-68368,4304,3226,558773,1078,84023,10463
3,6311,590665,532665,58000,-56063,4001,3036,466010,965,66655,10000
4,6312,617689,553939,63750,-58071,4186,2877,444412,1309,109527,10625
5,6313,471762,426609,45153,-45238,2747,2241,387261,506,39348,7785
6,6314,992202,912232,79970,0,6368,2041,377522,4327,534710,13788
7,6315,563861,518917,44944,-56120,3524,2582,445738,942,73179,7749
8,6316,762392,694921,67471,-80564,4022,3147,617642,875,77279,11633
9,6317,595123,550179,44944,0,3852,2910,487891,942,62288,7749
10,6318,491900,444305,47595,-47139,3812,2842,385151,970,59154,8206
11,6319,479919,434975,44944,-46110,2902,2382,396067,520,38908,7749
12,6320,594388,537426,56962,0,3477,2925,495359,552,42067,9821
13,6321,552037,508270,43767,-59497,3365,2773,463721,592,44549,7546
14,6322,561118,459589,101529,0,6252,2649,124605,3603,334984,17505
15,6323,548486,501755,46731,-53846,3358,2806,460950,552,40805,8057
16,6324,660691,587547,73114,-66505,4011,3219,528980,792,58567,12611
17,6325,524000,479056,44944,0,3164,2636,4394466,528,39610,7749
18,6326,608812,563601,45211,-61552,4034,2962,496609,1072,66992,7795
19,6327,510889,465945,44944,-49847,3033,2527,427431,506,38514,7749
20,6328,503707,458554,45153,0,2994,2444,416387,550,42167,7785
21,6329,524078,480073,44005,0,3158,2652,442113,506,37960,7587
22,6330,473794,428510,45194,0,2758,2252,389162,506,39348,7792
23,6331,594863,550122,44741,-59737,3819,2902,481635,917,68487,7714
24,6332,585518,541229,44289,-58692,3862,2743,457283,1119,83946,7636
25,6333,551366,505708,45658,0,3338,2809,466200,529,39508,7872
26,6334,480633,435521,45112,-46323,2758,2279,397888,479,37633,7778
27,6335,625892,580234,45658,-63158,4060,2148,340635,1912,239599,7872
28,6336,519939,473864,46075,-50486,3272,2697,432381,575,41483,7944
29,6337,534914,489256,45658,-52584,3178,2628,447145,550,42111,7872
30,6338,543887,497771,46116,0,3259,2707,455934,552,41837,7951
31,6339,569015,523357,45658,0,3610,2696,454082,914,69275,7872
32,6340,480728,434572,46156,-46107,3543,2991,401249,552,33323,7958
33,6341,551884,506226,45658,-54520,3296,2768,466208,528,40018,7872
34,6342,545449,499246,46203,-50426,3232,2745,462335,487,36911,7966
35,6343,580106,534448,45658,0,3923,2927,463478,996,70970,7872
36,6344,517551,471308,46243,-50303,3135,2610,431517,525,39791,7973
37,6345,545052,499394,45658,-53676,3286,2758,459784,528,39610,7872
38,6346,588016,541732,46284,-58601,3769,2851,473171,918,68561,7980
39,6347,492400,448894,43506,-48003,2901,2417,411787,484,37107,7501
40,6348,545012,498682,46330,-53574,3227,2743,461998,484,36684,7988
41,6349,526975,478783,48192,-51020,3121,2593,438594,528,40189,8309
42,6350,511379,467097,44283,-50049,3064,2514,425232,550,41864,7635
